2015-01-30 12:56:06 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 12:56:07 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 12:56:08 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 12:56:09 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 12:58:51 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 13:00:04 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 13:01:06 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/customers/search
2015-01-30 13:01:07 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 13:01:07 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 13:01:49 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 13:01:51 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/customers/upload
2015-01-30 13:01:52 Debug: Here: /voiq/customers/view/7, coming from: http://localhost/voiq/customers/search
2015-01-30 13:01:52 Debug: Here: /voiq/customers/view/7, coming from: http://localhost/voiq/customers/search
2015-01-30 13:02:23 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/customers/upload
2015-01-30 13:02:25 Debug: Here: /voiq/users/view/7, coming from: http://localhost/voiq/customers/search
2015-01-30 13:47:55 Debug: Here: /voiq/users/, coming from: /
2015-01-30 13:47:55 Debug: Here: /voiq/users/login, coming from: /
2015-01-30 13:48:06 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 13:48:06 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 13:48:14 Debug: Here: /voiq/users, coming from: /
2015-01-30 13:48:14 Debug: Here: /voiq/voiq/customers/search, coming from: /
2015-01-30 13:48:25 Debug: Here: /voiq/customers/upload, coming from: /
2015-01-30 13:48:26 Debug: Here: /voiq/users/view/7, coming from: http://localhost/voiq/customers/upload
2015-01-30 13:48:29 Debug: Here: /voiq/users/view/, coming from: /
2015-01-30 13:48:29 Debug: Here: /voiq/voiq/customers/search, coming from: /
2015-01-30 13:48:45 Debug: Here: /voiq/customers/search, coming from: /
2015-01-30 14:03:55 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:09:07 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:09:47 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:10:18 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:10:48 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:11:09 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:11:27 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:11:37 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:12:30 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:12:37 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:20:41 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:20:41 Debug: Here: /voiq/customers/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:20:45 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/customers/upload
2015-01-30 14:20:45 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/customers/upload
2015-01-30 14:20:50 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 14:20:50 Debug: Here: /voiq/customers/search, coming from: http://localhost/voiq/users/login
2015-01-30 14:20:52 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:20:52 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:21:23 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/customers/search
2015-01-30 14:23:28 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/files/upload
2015-01-30 14:23:42 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/files/upload
2015-01-30 14:25:46 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/files/upload
2015-01-30 14:31:07 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/files/upload
2015-01-30 14:31:14 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/files/upload
2015-01-30 14:31:20 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/files/upload
2015-01-30 14:31:24 Debug: Here: /voiq/files/upload, coming from: http://localhost/voiq/files/upload
